Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,50MA,200MA,RSI,EMA_fast,EMA_slow,MACD,MACD_signal,Return
2025-07-21 00:00:00+05:30,1580.0,1589.0,1566.800048828125,1584.300048828125,3682661,0.0,0.0,1587.5427612304688,1711.3499615478515,44.20400688274182,1597.5508999588676,1598.0801180175301,-0.5292180586625364,5.4730120755888585,-0.001134812928263007
2025-07-22 00:00:00+05:30,1565.0,1585.800048828125,1565.0,1570.9000244140625,8473741,0.0,0.0,1588.0240454101563,1709.9205328369142,40.284583597629755,1593.450765259667,1596.0667777506067,-2.616012490939738,3.8552071622831394,-0.008458009216104179
2025-07-23 00:00:00+05:30,1576.300048828125,1591.9000244140625,1550.0,1574.5,8035026,0.0,0.0,1588.1079321289062,1708.5624865722657,38.9056184292126,1590.535262912026,1594.469238657969,-3.933975745943144,2.297370580637883,0.0022916643516384116
2025-07-24 00:00:00+05:30,1580.0,1582.0,1548.199951171875,1552.5,14169664,0.0,0.0,1587.345537109375,1706.9737811279297,27.861425479396317,1584.6836840024835,1591.3604061647861,-6.676722162302667,0.5025520320497731,-0.013972689742775435
2025-07-25 00:00:00+05:30,1543.4000244140625,1549.5,1511.300048828125,1515.699951171875,10851259,0.0,0.0,1586.3027294921876,1705.1223419189453,24.966228831243,1574.0708020285438,1585.7559280171631,-11.685125988619347,-1.934983572084051,-0.023703735154991912
2025-07-28 00:00:00+05:30,1513.9000244140625,1519.300048828125,1482.5,1516.0,6439855,0.0,0.0,1585.8595703125,1703.202932739258,20.91038217460057,1565.136832485691,1580.588822238114,-15.45198975242306,-4.638384808151853,0.0001979605712152388
2025-07-29 00:00:00+05:30,1512.9000244140625,1517.199951171875,1496.0999755859375,1513.699951171875,7070448,0.0,0.0,1585.3546337890625,1701.2515484619141,21.181549437315525,1557.2234661297193,1575.6340910480224,-18.41062491830303,-7.392832830182089,-0.0015171826043041126
2025-07-30 00:00:00+05:30,1519.9000244140625,1521.699951171875,1506.0,1519.0,5719051,0.0,0.0,1584.7998901367187,1699.4911993408202,25.255623594257457,1551.3429328789932,1571.4389731926133,-20.09604031362005,-9.933474326869682,0.003501386667827955
2025-07-31 00:00:00+05:30,1509.699951171875,1527.0999755859375,1497.0,1509.0,6851407,0.0,0.0,1584.4593188476563,1697.6023608398436,26.746077327910342,1544.8286355129942,1566.8138640672346,-21.985228554240393,-12.343825172343825,-0.006583278472679366
2025-08-01 00:00:00+05:30,1493.9000244140625,1498.699951171875,1465.5,1469.5999755859375,8702978,0.0,0.0,1582.9895458984374,1695.4004943847656,24.761901848186227,1533.2549955242162,1559.6128352908422,-26.357839766626057,-15.146628091200272,-0.026110022805873045
2025-08-04 00:00:00+05:30,1461.5,1482.800048828125,1451.0,1480.5,8610216,0.0,0.0,1581.4281323242187,1693.2511779785157,23.065131414706357,1525.1388423666444,1553.7526252692983,-28.61378290265384,-17.840059053490986,0.007417000949334174
2025-08-05 00:00:00+05:30,1478.699951171875,1478.699951171875,1455.0,1460.300048828125,10213323,0.0,0.0,1579.66783203125,1691.1919665527344,11.76168854127333,1515.1636433607184,1546.8302121995816,-31.666568838863213,-20.60536101056543,-0.013644006195119851
2025-08-06 00:00:00+05:30,1452.0,1456.0999755859375,1430.300048828125,1436.699951171875,10566934,0.0,0.0,1577.402001953125,1688.7807489013671,11.810640049183746,1503.0923061008964,1538.6724150864181,-35.58010898552175,-23.600310605556697,-0.016161129129036778
